length	MOB-PAE06474	MOB-PAE59649	CBS1-PAE01745	CBS1-PAE59645	CBS1-PAG52067	CBS2-PAE59606	CBS2-PAE59231	CBS2-PAE32756	CBS2-PAE32753	CBS2-PAE31188	CBS2-PAE21339	CBS2-PAD99555	CBS2-PAG56368
950	1.781456401	6.556838236	0.555131415	6.035503274	7.089484113	4.166534766	4.186396973	2.300828379	2.372082065	2.354199668	2.314465459	2.40419881	3.320558799
1000	2.211051418	5.459192205	0.887890737	5.922392032	5.659992448	4.017656823	3.983180859	2.703969133	2.755662009	2.753477273	2.724891521	2.770695161	3.214084702
1050	3.012775734	5.080420537	1.591179181	6.149128053	4.834330278	4.592174346	4.584145113	3.523250699	3.585227016	3.548757193	3.501097703	3.644993529	3.437494165
1100	3.40455176	4.087085501	2.354276638	5.575659571	3.983014581	4.46148985	4.414662047	3.92253206	3.963121747	3.935233544	3.920847361	3.993267956	3.590593963
1150	4.043462925	3.591168384	3.313624124	5.267508943	3.425644942	4.620923759	4.603806565	4.465722773	4.536495228	4.50563125	4.461428147	4.51437961	3.949704789
1200	5.479282469	3.607382233	4.966728847	5.015970995	3.029933127	4.976555048	4.956195094	5.095306135	5.090486102	4.985315256	4.958905745	5.361638278	3.9854309
1250	8.338446078	4.5853211	6.886297742	5.923780483	3.489608364	6.610305423	6.689572989	7.029118097	7.24807701	7.183350666	7.11851901	7.061433002	6.169898785
1300	5.590250092	2.971362554	5.860873586	4.178382914	2.423453443	4.840574918	4.808127161	5.557310635	5.564950112	5.62126612	5.587611288	5.455834678	4.540722667
1350	5.437633707	2.484020716	6.24287293	3.649924986	2.077689147	4.57782906	4.557325611	5.352784241	5.317775596	5.281882918	5.273801834	5.385712904	4.200839537
1400	5.212701666	2.257456365	6.179936917	3.293264147	1.885052042	4.430775169	4.417629814	5.30714506	5.265101444	5.252555259	5.242705292	5.282986387	4.175858143
1450	4.620207328	1.916929303	5.710258652	2.87472212	1.638976133	3.906013076	3.888439977	4.747939475	4.731550892	4.755034733	4.787754026	4.65486656	3.883284496
